,taxdoug_2016,view_transgender_2016,RIGGED_SYSTEM_4_2016,gender_equality_2016,affirmact_gen_2016,immi_contribution_2016,police_threat_2016,pid3_2016,gvmt_involment_2016,wealth_2016,policies_favor_2016,obamaapp_2016,healthreformbill_2016,presvote16post_2016
6897,Don't know,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men have more opportunities than women,Don't know,Neither,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
6898,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Independent,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
6899,Yes,Don't know,Strongly agree,Men have more opportunities than women,Don't know,Mostly make a contribution,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Don't know,Don't know,Strongly Disapprove,Repealed,Other
6900,Yes,Should be required to use the restrooms of the gender they were born into,Strongly agree,Women have more opportunities than men,Oppose,Mostly a drain,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Don't know,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
6901,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men have more opportunities than women,Don't know,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
6902,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Somewhat Disapprove,Expanded,Hillary Clinton
6903,No,Should be required to use the restrooms of the gender they were born into,Agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Independent,We need a strong government to handle today's complex economic problems,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Don't know,Donald Trump
6904,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men have more opportunities than women,Don't know,Mostly make a contribution,Part of a broader pattern,Other,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
6905,No,Should be required to use the restrooms of the gender they were born into,Agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
6906,Yes,Should be required to use the restrooms of the gender they were born into,Agree,Men have more opportunities than women,Oppose,Mostly a drain,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
6907,Yes,Don't know,Disagree,Men have more opportunities than women,Favor,Neither,Isolated incidents,Democrat,Don't know,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
6908,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men have more opportunities than women,Don't know,Mostly make a contribution,Part of a broader pattern,Independent,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
6909,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Don't know,Somewhat Approve,Expanded,Hillary Clinton
