,taxdoug_2016,view_transgender_2016,RIGGED_SYSTEM_4_2016,gender_equality_2016,affirmact_gen_2016,immi_contribution_2016,police_threat_2016,pid3_2016,gvmt_involment_2016,wealth_2016,policies_favor_2016,obamaapp_2016,healthreformbill_2016,presvote16post_2016
3228,Yes,Should be required to use the restrooms of the gender they were born into,Strongly agree,Women have more opportunities than men,Oppose,Mostly a drain,Isolated incidents,Republican,We need a strong government to handle today's complex economic problems,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
3229,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,Men have more opportunities than women,Favor,Neither,Part of a broader pattern,Independent,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Somewhat Approve,Expanded,Jill Stein
3230,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Republican,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Treat both groups the same,Somewhat Approve,Repealed,Hillary Clinton
3231,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Neither,Isolated incidents,Other,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Gary Johnson
3232,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men and women have equal opportunities,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Kept the same,Hillary Clinton
3233,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
3234,Yes,Should be required to use the restrooms of the gender they were born into,Disagree,Men have more opportunities than women,Favor,Mostly a drain,Part of a broader pattern,Not sure,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Favor whites over blacks,Strongly Disapprove,Expanded,Donald Trump
3235,Yes,Should be required to use the restrooms of the gender they were born into,,Men have more opportunities than women,Favor,Neither,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Treat both groups the same,Somewhat Approve,Expanded,Other
3236,No,Don't know,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
3237,No,Should be required to use the restrooms of the gender they were born into,Agree,Men and women have equal opportunities,Oppose,Mostly a drain,Don't know,Republican,Don't know,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
3238,Yes,Don't know,Agree,Men have more opportunities than women,Oppose,Mostly make a contribution,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Don't know,Treat both groups the same,Somewhat Disapprove,Repealed,Donald Trump
3239,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Strongly disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
3240,No,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,Don't know,Favor,Mostly a drain,Isolated incidents,Republican,We need a strong government to handle today's complex economic problems,Don't know,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
3241,Yes,Should be required to use the restrooms of the gender they were born into,Agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Treat both groups the same,Somewhat Disapprove,Repealed,Donald Trump
3242,Don't know,Should be required to use the restrooms of the gender they were born into,Agree,Men have more opportunities than women,Favor,Neither,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Other
3243,Yes,Should be required to use the restrooms of the gender they were born into,Agree,Men have more opportunities than women,Oppose,Mostly a drain,Isolated incidents,Republican,We need a strong government to handle today's complex economic problems,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
3244,Yes,Should be required to use the restrooms of the gender they were born into,Disagree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Independent,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
3245,No,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men and women have equal opportunities,Oppose,Mostly make a contribution,Isolated incidents,Independent,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
3246,Don't know,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men and women have equal opportunities,Don't know,Mostly a drain,Isolated incidents,Not sure,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Treat both groups the same,Somewhat Disapprove,Don't know,Hillary Clinton
3247,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Favor whites over blacks,Somewhat Approve,Expanded,Hillary Clinton
3248,No,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men and women have equal opportunities,Oppose,Neither,Don't know,Independent,People would be better able to handle today's problems within a free market with less government involvement,Don't know,Treat both groups the same,Strongly Disapprove,Repealed,Gary Johnson
3249,Don't know,Should be required to use the restrooms of the gender they were born into,Strongly agree,Women have more opportunities than men,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
3250,Don't know,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men have more opportunities than women,Oppose,Mostly a drain,Part of a broader pattern,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
3251,No,Should be required to use the restrooms of the gender they were born into,Disagree,Men and women have equal opportunities,Don't know,Don't know,Don't know,Independent,People would be better able to handle today's problems within a free market with less government involvement,Don't know,Treat both groups the same,Somewhat Disapprove,Repealed,Donald Trump
3252,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,Men have more opportunities than women,Don't know,Mostly make a contribution,Part of a broader pattern,Independent,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Don't know,Somewhat Approve,Repealed,Jill Stein
3253,Yes,Don't know,Disagree,Men have more opportunities than women,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Treat both groups the same,Strongly Disapprove,Repealed,Donald Trump
3254,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Independent,Don't know,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
3255,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
3256,Yes,Don't know,Strongly disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Independent,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
3257,No,Should be required to use the restrooms of the gender they were born into,Agree,Men have more opportunities than women,Oppose,Mostly a drain,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Treat both groups the same,Somewhat Disapprove,Repealed,Donald Trump
3258,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
3259,Yes,Don't know,Disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Isolated incidents,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
3260,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
3261,Yes,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men have more opportunities than women,Don't know,Don't know,Part of a broader pattern,Democrat,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
3262,No,Should be required to use the restrooms of the gender they were born into,Agree,Men and women have equal opportunities,Favor,Neither,Part of a broader pattern,Republican,We need a strong government to handle today's complex economic problems,Distribution is fair,Treat both groups the same,Strongly Disapprove,Repealed,Gary Johnson
3263,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men have more opportunities than women,Don't know,Mostly make a contribution,Part of a broader pattern,Democrat,Don't know,Should be more evenly distributed,Treat both groups the same,Somewhat Approve,Expanded,Hillary Clinton
3264,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men and women have equal opportunities,Don't know,Mostly make a contribution,Don't know,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
3265,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,Women have more opportunities than men,Oppose,Mostly a drain,Isolated incidents,Independent,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,
3266,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
3267,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Republican,We need a strong government to handle today's complex economic problems,Distribution is fair,Favor blacks over whites,Somewhat Disapprove,Repealed,
3268,No,Should be required to use the restrooms of the gender they were born into,Agree,Men and women have equal opportunities,Oppose,Neither,Part of a broader pattern,Independent,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Favor blacks over whites,Somewhat Approve,Expanded,Hillary Clinton
3269,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,Men have more opportunities than women,Don't know,Mostly make a contribution,Don't know,Independent,We need a strong government to handle today's complex economic problems,Don't know,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
3270,Yes,Don't know,Disagree,Men have more opportunities than women,Don't know,Don't know,Don't know,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Don't know,
3271,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,Don't know,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
3272,Don't know,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men have more opportunities than women,Don't know,Mostly a drain,Isolated incidents,Democrat,Don't know,Should be more evenly distributed,Treat both groups the same,Somewhat Approve,Kept the same,Hillary Clinton
3273,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men have more opportunities than women,Don't know,Mostly make a contribution,Part of a broader pattern,Democrat,Don't know,Should be more evenly distributed,Treat both groups the same,Somewhat Approve,Expanded,Hillary Clinton
3274,Yes,Should be required to use the restrooms of the gender they were born into,Disagree,Women have more opportunities than men,Oppose,Mostly a drain,Isolated incidents,Democrat,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Favor blacks over whites,Strongly Disapprove,Repealed,Gary Johnson
3275,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Don't know,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
3276,Don't know,Should be required to use the restrooms of the gender they were born into,Strongly agree,Don't know,Oppose,Don't know,Isolated incidents,Republican,Don't know,Don't know,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
3277,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
3278,Yes,Don't know,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
3279,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men have more opportunities than women,Favor,Mostly make a contribution,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Treat both groups the same,Strongly Disapprove,Repealed,Gary Johnson
3280,Yes,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Don't know,Mostly a drain,Don't know,Republican,Don't know,Don't know,Don't know,Strongly Disapprove,Repealed,
3281,Yes,Should be allow to us the restrooms of the gender with which they currently identify,,Men have more opportunities than women,Favor,Mostly make a contribution,Don't know,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Somewhat Approve,Expanded,Hillary Clinton
3282,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,Don't know,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
3283,Yes,Don't know,Disagree,Don't know,Don't know,Don't know,Part of a broader pattern,Democrat,Don't know,Don't know,Treat both groups the same,Strongly Approve,Expanded,
3284,Yes,Should be required to use the restrooms of the gender they were born into,Strongly disagree,Women have more opportunities than men,Oppose,Mostly a drain,Isolated incidents,Independent,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
3285,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Don't know,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
3286,Don't know,Should be required to use the restrooms of the gender they were born into,Agree,Men and women have equal opportunities,Oppose,Neither,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
3287,No,Don't know,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Other,Don't know,Don't know,Treat both groups the same,Strongly Disapprove,Repealed,Donald Trump
3288,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Independent,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
3289,Yes,Don't know,Disagree,Men have more opportunities than women,Don't know,Mostly make a contribution,Isolated incidents,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
3290,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Strongly disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
3291,No,Don't know,Agree,Women have more opportunities than men,Oppose,Mostly a drain,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
3292,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Strongly disagree,Men and women have equal opportunities,Oppose,Mostly make a contribution,Part of a broader pattern,Independent,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Other
3293,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Strongly disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
3294,Yes,Don't know,Strongly agree,Men have more opportunities than women,Favor,Mostly a drain,Part of a broader pattern,Independent,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Favor whites over blacks,Strongly Disapprove,Repealed,Jill Stein
3295,Don't know,Should be required to use the restrooms of the gender they were born into,Strongly agree,Don't know,Oppose,Mostly a drain,Don't know,Independent,We need a strong government to handle today's complex economic problems,Don't know,Favor blacks over whites,Somewhat Disapprove,Repealed,Donald Trump
3296,Yes,Should be required to use the restrooms of the gender they were born into,Disagree,Men have more opportunities than women,Oppose,Mostly a drain,Part of a broader pattern,Republican,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
3297,Yes,Don't know,Disagree,Men have more opportunities than women,Oppose,Mostly a drain,Isolated incidents,Independent,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Somewhat Approve,Expanded,Hillary Clinton
3298,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
3299,Don't know,Don't know,Strongly agree,Men have more opportunities than women,Favor,Neither,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Treat both groups the same,Somewhat Disapprove,Repealed,Donald Trump
3300,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Somewhat Approve,Expanded,Hillary Clinton
3301,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Women have more opportunities than men,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
3302,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men have more opportunities than women,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
3303,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
3304,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men have more opportunities than women,Don't know,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
3305,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
3306,Yes,Don't know,Strongly disagree,Men have more opportunities than women,Favor,Neither,Don't know,Independent,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Somewhat Approve,Expanded,Hillary Clinton
3307,Yes,Should be required to use the restrooms of the gender they were born into,Agree,Men have more opportunities than women,Oppose,Mostly a drain,Isolated incidents,Republican,We need a strong government to handle today's complex economic problems,Distribution is fair,Don't know,Strongly Disapprove,Repealed,Donald Trump
3308,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men have more opportunities than women,Oppose,Mostly make a contribution,Part of a broader pattern,Independent,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
3309,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Treat both groups the same,Strongly Disapprove,Repealed,Donald Trump
3310,No,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,Men have more opportunities than women,Oppose,Mostly make a contribution,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
3311,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
3312,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men have more opportunities than women,Don't know,Mostly make a contribution,Part of a broader pattern,Independent,Don't know,Should be more evenly distributed,Treat both groups the same,Somewhat Approve,Expanded,Gary Johnson
3313,Yes,Should be required to use the restrooms of the gender they were born into,Disagree,Men have more opportunities than women,Favor,Neither,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
3314,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Part of a broader pattern,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Treat both groups the same,Strongly Disapprove,Repealed,Gary Johnson
3315,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Strongly disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Somewhat Approve,Expanded,Hillary Clinton
3316,Yes,Should be required to use the restrooms of the gender they were born into,Agree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
3317,Yes,Don't know,Agree,Men have more opportunities than women,Oppose,Mostly a drain,Part of a broader pattern,Democrat,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Favor whites over blacks,Strongly Approve,Expanded,Hillary Clinton
3318,Yes,Don't know,Disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Independent,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
3319,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Women have more opportunities than men,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Approve,Repealed,Donald Trump
3320,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men have more opportunities than women,Don't know,Neither,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
3321,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Don't know,Oppose,Mostly make a contribution,Don't know,Democrat,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Don't know,Strongly Approve,Expanded,Hillary Clinton
3322,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men and women have equal opportunities,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Somewhat Approve,Expanded,Hillary Clinton
3323,Yes,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men have more opportunities than women,Don't know,Mostly make a contribution,Part of a broader pattern,Independent,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Treat both groups the same,Strongly Disapprove,Repealed,
3324,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men have more opportunities than women,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
3325,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Favor whites over blacks,Strongly Approve,Kept the same,Hillary Clinton
3326,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men and women have equal opportunities,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Disapprove,Expanded,Hillary Clinton
3327,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
3328,Yes,Should be required to use the restrooms of the gender they were born into,Disagree,Men have more opportunities than women,Favor,Mostly a drain,Isolated incidents,Republican,We need a strong government to handle today's complex economic problems,Distribution is fair,Treat both groups the same,Somewhat Disapprove,Repealed,Hillary Clinton
3329,Yes,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men have more opportunities than women,Don't know,Mostly a drain,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
3330,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
3331,Yes,Don't know,Disagree,Men have more opportunities than women,Favor,Neither,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
3332,Yes,Should be required to use the restrooms of the gender they were born into,Agree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Don't know,Treat both groups the same,Somewhat Approve,Kept the same,Hillary Clinton
3333,No,Don't know,Strongly agree,Men have more opportunities than women,Oppose,Mostly a drain,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
3334,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Independent,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
3335,Yes,Don't know,Strongly agree,Women have more opportunities than men,Don't know,Mostly a drain,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Repealed,
3336,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Don't know,Favor,Mostly a drain,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Somewhat Approve,Repealed,Hillary Clinton
