Unnamed: 0,healthreformbill_2016,wealth_2016,gvmt_involment_2016,police_threat_2016,obamaapp_2016,view_transgender_2016,affirmact_gen_2016,policies_favor_2016,taxdoug_2016,immi_contribution_2016,pid3_2016,RIGGED_SYSTEM_4_2016,gender_equality_2016,presvote16post_2016
7659,Repealed,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,Yes,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
7660,Repealed,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Somewhat Disapprove,Should be required to use the restrooms of the gender they were born into,Don't know,Treat both groups the same,Yes,Mostly a drain,Independent,Agree,Men and women have equal opportunities,Donald Trump
7661,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Don't know,Treat both groups the same,Yes,Mostly make a contribution,Independent,Agree,Men and women have equal opportunities,Hillary Clinton
7662,Repealed,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Don't know,Treat both groups the same,Yes,Mostly a drain,Democrat,Strongly agree,Men have more opportunities than women,Donald Trump
7663,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Isolated incidents,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Independent,Strongly agree,Men have more opportunities than women,Hillary Clinton
7664,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Independent,Strongly agree,Men and women have equal opportunities,Donald Trump
7665,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Oppose,Treat both groups the same,No,Neither,Republican,Strongly disagree,Men and women have equal opportunities,Gary Johnson
7666,Expanded,Don't know,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Don't know,Oppose,Treat both groups the same,No,Mostly make a contribution,Democrat,Agree,Men have more opportunities than women,Hillary Clinton
7667,Repealed,Don't know,We need a strong government to handle today's complex economic problems,Isolated incidents,Strongly Disapprove,Don't know,Don't know,Favor blacks over whites,Yes,Mostly a drain,Independent,Strongly agree,Men have more opportunities than women,Donald Trump
7668,Don't know,Should be more evenly distributed,Don't know,Don't know,Strongly Approve,Don't know,Don't know,Don't know,Don't know,Mostly make a contribution,Democrat,Disagree,Don't know,Hillary Clinton
7669,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be required to use the restrooms of the gender they were born into,Don't know,Treat both groups the same,Yes,Don't know,Democrat,Strongly agree,Men have more opportunities than women,Hillary Clinton
7670,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Republican,Strongly agree,Women have more opportunities than men,Donald Trump
7671,Repealed,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Don't know,Favor whites over blacks,Yes,Neither,Republican,Strongly agree,Men have more opportunities than women,Donald Trump
7672,Kept the same,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,Part of a broader pattern,Strongly Approve,Should be required to use the restrooms of the gender they were born into,Favor,Don't know,Yes,Mostly make a contribution,Democrat,Agree,Men have more opportunities than women,Hillary Clinton
7673,Kept the same,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Isolated incidents,Strongly Approve,Don't know,Oppose,Treat both groups the same,Yes,Don't know,Republican,Disagree,Men have more opportunities than women,Other
7674,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Neither,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
7675,Don't know,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Don't know,Favor,Treat both groups the same,Yes,Mostly a drain,Democrat,Disagree,Men have more opportunities than women,Hillary Clinton
7677,Repealed,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Isolated incidents,Somewhat Disapprove,Should be required to use the restrooms of the gender they were born into,Don't know,Favor blacks over whites,Yes,Mostly a drain,Democrat,Disagree,Men have more opportunities than women,Hillary Clinton
7678,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Don't know,Mostly make a contribution,Democrat,Disagree,Men have more opportunities than women,Hillary Clinton
7679,Repealed,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Isolated incidents,Somewhat Approve,Don't know,Favor,Treat both groups the same,Yes,Mostly a drain,Democrat,Agree,Men have more opportunities than women,Hillary Clinton
7681,Expanded,Distribution is fair,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Agree,Men have more opportunities than women,Donald Trump
7682,Repealed,Distribution is fair,Don't know,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Don't know,Favor blacks over whites,No,Don't know,Republican,Agree,Men have more opportunities than women,Donald Trump
7683,Repealed,Don't know,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Don't know,No,Mostly a drain,Independent,Strongly agree,Don't know,Donald Trump
7684,Expanded,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Part of a broader pattern,Strongly Approve,Don't know,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Strongly agree,Men have more opportunities than women,Hillary Clinton
7685,Expanded,Should be more evenly distributed,Don't know,Part of a broader pattern,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Neither,Independent,Disagree,Men have more opportunities than women,Hillary Clinton
7686,Don't know,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,Don't know,Somewhat Approve,Don't know,Oppose,Don't know,Yes,Don't know,Democrat,Disagree,Men have more opportunities than women,Hillary Clinton
7687,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
7688,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Independent,Strongly agree,Men and women have equal opportunities,Donald Trump
7689,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Disagree,Men have more opportunities than women,Hillary Clinton
7690,Repealed,Don't know,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Independent,Strongly agree,Women have more opportunities than men,Donald Trump
7691,Repealed,Don't know,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,Yes,Mostly a drain,Republican,Strongly agree,Men have more opportunities than women,Donald Trump
