,teapartsup_baseline,track_baseline,healthtaxch3_baseline,obamaapp_baseline,post_pid3_2012,envwarm_baseline,taxwealth_baseline,healthreformbill_baseline,presvote16post_2016
143,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
144,Somewhat support,Off on the wrong track,Pay more,Somewhat Disapprove,Republican,Probably is not happening,Favor,Repealed,Donald Trump
145,Strongly oppose,Off on the wrong track,Pay less,Strongly Approve,Democrat,Definitely is happening,Not sure,Expanded,Hillary Clinton
146,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is happening,Not sure,Repealed,Donald Trump
147,Somewhat oppose,Off on the wrong track,Pay more,Somewhat Approve,Independent,Probably is happening,Favor,Kept the same,Hillary Clinton
148,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
149,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
150,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Oppose,Repealed,Donald Trump
151,Strongly oppose,Not sure,Pay less,Somewhat Approve,Independent,Probably is happening,Favor,Expanded,Hillary Clinton
152,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
153,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
154,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
155,Somewhat support,Off on the wrong track,Pay more,Somewhat Disapprove,Independent,Probably is happening,Oppose,Repealed,Gary Johnson
156,"Neither support, nor oppose",Off on the wrong track,Pay more,Somewhat Disapprove,Independent,Probably is not happening,Not sure,Not sure,Hillary Clinton
157,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
158,Somewhat oppose,Off on the wrong track,Not sure,Strongly Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
159,Somewhat oppose,Generally headed in the right direction,Not sure,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
160,Strongly support,Off on the wrong track,Not sure,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
161,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
162,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Democrat,Probably is not happening,Not sure,Repealed,Donald Trump
163,Somewhat support,Generally headed in the right direction,Pay more,Somewhat Approve,Democrat,Definitely is happening,Favor,Not sure,Hillary Clinton
164,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Gary Johnson
165,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
166,Strongly oppose,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
167,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Not sure,Oppose,Repealed,Donald Trump
168,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
169,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Oppose,Repealed,Gary Johnson
170,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Oppose,Repealed,Donald Trump
171,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
172,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
173,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Oppose,Repealed,Donald Trump
174,Strongly oppose,Generally headed in the right direction,Pay more,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
