,teapartsup_baseline,track_baseline,healthtaxch3_baseline,obamaapp_baseline,post_pid3_2012,envwarm_baseline,taxwealth_baseline,healthreformbill_baseline,presvote16post_2016
7225,Not sure,Off on the wrong track,Not sure,Somewhat Disapprove,Independent,Probably is happening,Not sure,Repealed,Other
7226,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7227,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
7228,"Neither support, nor oppose",Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7229,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Not sure,Donald Trump
7230,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Not sure,Oppose,Repealed,Hillary Clinton
7231,Strongly oppose,Generally headed in the right direction,Pay more,Strongly Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
7232,"Neither support, nor oppose",Generally headed in the right direction,Pay more,Somewhat Approve,Independent,Definitely is happening,Favor,Repealed,
7233,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Donald Trump
7234,Somewhat oppose,Off on the wrong track,Pay more,Strongly Disapprove,Other,Definitely is not happening,Oppose,Repealed,Donald Trump
7235,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Not sure,Repealed,Donald Trump
7236,Not sure,Not sure,Not sure,Somewhat Approve,Independent,Definitely is happening,Favor,Not sure,Hillary Clinton
7237,Strongly oppose,Off on the wrong track,Not sure,Somewhat Disapprove,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7238,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
7239,Strongly oppose,Off on the wrong track,Pay less,Somewhat Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
7240,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
7241,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Disapprove,Democrat,Probably is happening,Favor,Kept the same,Hillary Clinton
7242,"Neither support, nor oppose",Not sure,Pay less,Strongly Disapprove,Republican,Not sure,Not sure,Kept the same,
7243,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
7244,"Neither support, nor oppose",Generally headed in the right direction,About the same,Strongly Approve,Democrat,Probably is happening,Favor,Kept the same,Hillary Clinton
7245,Not sure,Off on the wrong track,Pay more,Somewhat Approve,Democrat,Definitely is happening,Favor,Not sure,Donald Trump
7246,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
7247,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
7248,Somewhat oppose,Not sure,Pay more,Somewhat Approve,Democrat,Definitely is happening,Favor,Not sure,Gary Johnson
7249,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Oppose,Repealed,Donald Trump
7250,Not sure,Off on the wrong track,Not sure,Somewhat Approve,Independent,Probably is not happening,Favor,Kept the same,Hillary Clinton
7251,Strongly oppose,Generally headed in the right direction,Pay more,Strongly Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
7252,Not sure,Off on the wrong track,Pay more,Somewhat Approve,Independent,Definitely is happening,Favor,Not sure,Gary Johnson
7253,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
7254,Strongly oppose,Generally headed in the right direction,Not sure,Strongly Approve,Democrat,Probably is happening,,Expanded,Hillary Clinton
7255,Somewhat support,Generally headed in the right direction,Pay more,Somewhat Approve,Democrat,Probably is happening,Oppose,Expanded,Did not vote for President
7256,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7257,"Neither support, nor oppose",Off on the wrong track,Pay more,Somewhat Disapprove,Democrat,Probably is happening,Oppose,Not sure,Donald Trump
7258,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Not sure,Repealed,Donald Trump
7259,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
7260,Strongly oppose,Off on the wrong track,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7261,Somewhat oppose,Off on the wrong track,About the same,Strongly Disapprove,Republican,Probably is happening,Not sure,Repealed,Donald Trump
7262,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Gary Johnson
7263,Not sure,Off on the wrong track,Not sure,Strongly Approve,Democrat,Probably is happening,Not sure,Not sure,Hillary Clinton
7264,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
7265,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7266,Strongly oppose,Generally headed in the right direction,Not sure,Strongly Approve,Democrat,Definitely is happening,Oppose,Expanded,Hillary Clinton
7267,Not sure,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Probably is not happening,Favor,Expanded,
7268,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
7269,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Not sure,Favor,Not sure,Donald Trump
7270,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
7271,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Not sure,Definitely is happening,Favor,Expanded,Hillary Clinton
7272,Strongly oppose,Generally headed in the right direction,Pay more,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7273,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Not sure,Expanded,Hillary Clinton
7274,Not sure,Not sure,,Strongly Approve,Democrat,Not sure,Favor,Not sure,Jill Stein
7275,Somewhat oppose,Off on the wrong track,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
7276,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Oppose,Repealed,Donald Trump
7277,"Neither support, nor oppose",Off on the wrong track,Pay more,Somewhat Disapprove,Independent,Definitely is happening,Not sure,Repealed,Donald Trump
7278,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
7279,"Neither support, nor oppose",Generally headed in the right direction,Pay more,Somewhat Approve,Democrat,Probably is happening,Favor,Kept the same,Hillary Clinton
7280,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7281,Somewhat oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
7282,"Neither support, nor oppose",Off on the wrong track,Pay more,Not Sure,Independent,Probably is happening,Favor,Repealed,Did not vote for President
7283,"Neither support, nor oppose",Off on the wrong track,About the same,Strongly Approve,Democrat,Definitely is happening,Not sure,Kept the same,Hillary Clinton
7284,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is happening,Oppose,Repealed,Hillary Clinton
7285,Somewhat support,Generally headed in the right direction,Pay more,Strongly Disapprove,Republican,Probably is happening,Favor,Repealed,Donald Trump
7286,Strongly oppose,Off on the wrong track,Not sure,Somewhat Approve,Democrat,Probably is happening,Favor,Kept the same,Hillary Clinton
7287,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Favor,Repealed,Donald Trump
7288,Somewhat support,Off on the wrong track,Not sure,Somewhat Disapprove,Independent,Definitely is happening,Not sure,Repealed,Donald Trump
7289,Strongly oppose,Not sure,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7290,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Oppose,Repealed,Gary Johnson
7291,Somewhat oppose,Off on the wrong track,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Kept the same,Hillary Clinton
7292,Somewhat support,Off on the wrong track,Pay more,Somewhat Approve,Republican,Definitely is happening,Favor,Expanded,Donald Trump
7293,Somewhat oppose,Generally headed in the right direction,About the same,Somewhat Approve,Independent,Probably is happening,Favor,Expanded,Hillary Clinton
7294,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Oppose,Repealed,Donald Trump
7295,"Neither support, nor oppose",Generally headed in the right direction,Not sure,Somewhat Approve,Democrat,Not sure,Favor,Expanded,Hillary Clinton
7296,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7297,Not sure,Not sure,Not sure,Not Sure,Democrat,Not sure,Not sure,Not sure,
7298,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
7299,"Neither support, nor oppose",Generally headed in the right direction,About the same,Somewhat Approve,Independent,Probably is happening,Favor,Not sure,Hillary Clinton
7300,Strongly support,Not sure,Not sure,Strongly Disapprove,Republican,Not sure,Oppose,Repealed,Donald Trump
7301,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Not sure,Repealed,Donald Trump
7302,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
7303,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Disapprove,Democrat,Definitely is happening,Favor,Repealed,Donald Trump
7304,Strongly oppose,Generally headed in the right direction,Not sure,Somewhat Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
7305,Somewhat oppose,Not sure,Not sure,Somewhat Approve,Democrat,Definitely is happening,Favor,Repealed,Donald Trump
7306,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
7307,,Off on the wrong track,Not sure,Strongly Approve,Democrat,Not sure,Favor,Repealed,
7308,Strongly oppose,Off on the wrong track,About the same,Somewhat Disapprove,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7309,Strongly oppose,Not sure,Not sure,Strongly Approve,Democrat,Definitely is happening,Favor,Not sure,Hillary Clinton
7310,Not sure,Generally headed in the right direction,Not sure,Strongly Disapprove,Democrat,Definitely is happening,Favor,Kept the same,Donald Trump
7311,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
7312,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
7313,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
7314,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
7315,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
7316,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Other,Definitely is not happening,Favor,Repealed,Donald Trump
7317,Strongly support,Not sure,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
7318,Somewhat support,Off on the wrong track,Pay more,,Republican,Probably is not happening,Favor,Repealed,Hillary Clinton
7319,"Neither support, nor oppose",Off on the wrong track,Pay less,Somewhat Disapprove,Democrat,Probably is not happening,Favor,Expanded,Hillary Clinton
7320,Strongly oppose,Off on the wrong track,Pay more,Somewhat Approve,Democrat,Probably is not happening,Favor,Not sure,
7321,Somewhat oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7322,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Favor,Repealed,Hillary Clinton
7323,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Republican,Definitely is happening,Favor,Expanded,Hillary Clinton
7324,Strongly oppose,Off on the wrong track,Pay more,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7325,Not sure,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Favor,Repealed,
7326,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,
7327,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7328,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Not sure,Repealed,Donald Trump
7329,Strongly oppose,Off on the wrong track,Pay more,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7330,Somewhat support,Not sure,Pay less,Somewhat Approve,Independent,Definitely is happening,Oppose,Kept the same,Jill Stein
7331,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
7332,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Not sure,Repealed,Other
7333,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Independent,Probably is happening,Favor,Expanded,Hillary Clinton
7334,Somewhat support,Generally headed in the right direction,About the same,Somewhat Approve,Independent,Probably is happening,Oppose,Expanded,
7335,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Hillary Clinton
7336,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
7337,"Neither support, nor oppose",Off on the wrong track,Not sure,Somewhat Disapprove,Independent,Probably is not happening,Favor,Repealed,Donald Trump
7338,Somewhat support,Generally headed in the right direction,Pay less,Somewhat Approve,Republican,Probably is happening,Not sure,Kept the same,Hillary Clinton
7339,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Favor,Repealed,Donald Trump
7340,Not sure,Generally headed in the right direction,About the same,Strongly Disapprove,Not sure,Definitely is happening,Not sure,Expanded,
7341,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7342,"Neither support, nor oppose",Generally headed in the right direction,Pay more,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7343,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7344,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Other,Probably is not happening,Oppose,Repealed,Donald Trump
7345,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
7346,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
7347,Strongly oppose,Off on the wrong track,Not sure,Somewhat Approve,Democrat,Not sure,Favor,Not sure,Hillary Clinton
7348,Not sure,Off on the wrong track,Not sure,Somewhat Approve,Democrat,Probably is happening,Favor,Not sure,Hillary Clinton
7349,Not sure,Off on the wrong track,About the same,Somewhat Disapprove,Democrat,Not sure,Favor,Kept the same,Hillary Clinton
7350,Strongly support,Off on the wrong track,About the same,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
7351,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,,Favor,Repealed,Donald Trump
7352,Strongly oppose,Generally headed in the right direction,Pay more,Strongly Disapprove,Democrat,Not sure,Favor,Kept the same,Hillary Clinton
7353,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Oppose,Repealed,Donald Trump
7354,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7355,Strongly oppose,Generally headed in the right direction,Not sure,Strongly Approve,Democrat,Probably is happening,Favor,Kept the same,Hillary Clinton
7356,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Oppose,Repealed,Donald Trump
7357,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Disapprove,Independent,Not sure,Not sure,Repealed,Donald Trump
7358,Strongly oppose,Off on the wrong track,Pay more,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7359,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Oppose,Repealed,Donald Trump
7360,"Neither support, nor oppose",Off on the wrong track,Not sure,Somewhat Disapprove,Republican,Probably is happening,Oppose,Repealed,Evan McMullin
7361,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Not sure,Favor,Repealed,Donald Trump
7362,Somewhat oppose,Generally headed in the right direction,Pay less,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7363,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
7364,"Neither support, nor oppose",Off on the wrong track,Not sure,Somewhat Approve,Democrat,Not sure,Favor,Kept the same,Hillary Clinton
7365,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Favor,Repealed,Donald Trump
7366,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7367,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
7368,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
7369,Strongly oppose,Off on the wrong track,Pay more,Strongly Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
7370,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7371,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is happening,Favor,Repealed,Hillary Clinton
7372,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Jill Stein
7373,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
7374,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7375,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7376,Not sure,Not sure,Pay more,Strongly Approve,Democrat,Definitely is happening,Not sure,Expanded,Hillary Clinton
7377,Strongly oppose,Off on the wrong track,Pay more,Strongly Approve,Democrat,Probably is happening,Favor,Kept the same,Hillary Clinton
7378,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
7379,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Not sure,Repealed,Donald Trump
7380,Strongly oppose,Not sure,Pay less,Somewhat Disapprove,Independent,Definitely is not happening,Favor,Kept the same,Donald Trump
7381,Not sure,Not sure,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
7382,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7383,Strongly oppose,Generally headed in the right direction,Pay more,Strongly Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
7384,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Not sure,Repealed,Donald Trump
7385,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7386,Somewhat oppose,Not sure,Not sure,Somewhat Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
7387,Strongly oppose,Off on the wrong track,Pay more,Strongly Disapprove,Democrat,Definitely is happening,Favor,Repealed,Donald Trump
7388,Somewhat oppose,Off on the wrong track,Pay more,Somewhat Disapprove,Independent,Definitely is happening,Favor,Repealed,Hillary Clinton
7389,"Neither support, nor oppose",Generally headed in the right direction,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Kept the same,
7390,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,,Expanded,Hillary Clinton
7391,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
7392,Strongly oppose,Not sure,About the same,Somewhat Approve,Independent,Probably is happening,Favor,Not sure,Hillary Clinton
7393,Not sure,Not sure,Not sure,Not Sure,Independent,Not sure,Not sure,Not sure,
7394,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7395,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Favor,Repealed,Donald Trump
7396,Somewhat oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
7397,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
7398,Strongly oppose,Off on the wrong track,Pay more,Somewhat Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
7399,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Not sure,Repealed,Donald Trump
7400,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Oppose,Repealed,Donald Trump
7401,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Not sure,Oppose,Repealed,Donald Trump
7402,"Neither support, nor oppose",Off on the wrong track,Pay more,Somewhat Disapprove,Independent,Probably is happening,Oppose,Repealed,Donald Trump
7403,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
7404,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Not sure,Repealed,Donald Trump
7405,"Neither support, nor oppose",Off on the wrong track,Pay less,Somewhat Disapprove,Republican,Probably is happening,Favor,Expanded,Hillary Clinton
7406,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Other,Probably is happening,Oppose,Repealed,Donald Trump
7407,Strongly oppose,Generally headed in the right direction,Pay less,Somewhat Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
7408,Strongly oppose,Off on the wrong track,Pay more,Somewhat Approve,Other,Definitely is happening,Favor,Expanded,Hillary Clinton
7409,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7410,Somewhat oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7411,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Not sure,Hillary Clinton
7412,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Independent,Probably is happening,Favor,Expanded,Hillary Clinton
7413,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Disapprove,Democrat,Probably is happening,Favor,Repealed,Donald Trump
7414,Not sure,Off on the wrong track,Pay more,Somewhat Approve,Democrat,Probably is happening,Favor,Not sure,Hillary Clinton
7415,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
7416,"Neither support, nor oppose",Off on the wrong track,Pay more,Somewhat Disapprove,Democrat,Probably is happening,Oppose,Expanded,Hillary Clinton
7417,"Neither support, nor oppose",Generally headed in the right direction,About the same,Somewhat Approve,Independent,Probably is not happening,Favor,Repealed,Hillary Clinton
7418,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7419,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Not sure,Repealed,Donald Trump
7420,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
7421,"Neither support, nor oppose",Off on the wrong track,Pay more,Somewhat Approve,Democrat,Definitely is happening,Favor,Kept the same,
7422,"Neither support, nor oppose",Generally headed in the right direction,Pay more,Strongly Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
7423,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
7424,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
7425,Strongly oppose,Off on the wrong track,Not sure,Somewhat Disapprove,Independent,Probably is happening,Favor,Kept the same,Hillary Clinton
7426,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Oppose,Expanded,Hillary Clinton
7427,Strongly oppose,Off on the wrong track,Pay more,Somewhat Disapprove,Democrat,Definitely is happening,Favor,Repealed,Jill Stein
7428,Strongly oppose,Off on the wrong track,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7429,Somewhat oppose,Off on the wrong track,Not sure,Somewhat Approve,Democrat,Probably is happening,Not sure,Expanded,Donald Trump
7430,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Not sure,Repealed,Donald Trump
7431,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Independent,Probably is happening,Favor,Kept the same,Donald Trump
7432,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
7433,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7434,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
7435,Somewhat oppose,Generally headed in the right direction,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
7436,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7437,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
7438,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Not sure,Repealed,Donald Trump
7439,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Oppose,Repealed,Donald Trump
7440,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
7441,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Gary Johnson
7442,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
7443,Strongly oppose,Generally headed in the right direction,Not sure,Strongly Approve,Independent,Probably is happening,Oppose,Expanded,Hillary Clinton
