obamaapp_2016,healthreformbill_2016,univhealthcov_2016,ft_blm_2016,policies_favor_2016,imiss_l_2016,envwarm_2016,immi_muslim_2016,pid3_2016,pp_primary16_2016,ideo5_2016,govt_reg_2016,immi_contribution_2016,wealth_2016,gvmt_involment_2016,ft_fem_2016,police_threat_2016,reverse_discrimination_2016,RIGGED_SYSTEM_4_2016,affirmact_gen_2016,race_slave_2016,race_overcome_2016,view_transgender_2016,RIGGED_SYSTEM_3_2016,ft_unions_2016,presvote16post_2016
Strongly Approve,Expanded,Yes,55.0,Treat both groups the same,Somewhat important,Probably is happening,Somewhat oppose,Democrat,In the Democratic primary,Moderate,About the right amount,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,49.0,Part of a broader pattern,Strongly Disagree,Disagree,Favor,Agree,Strongly Disagree,Should be required to use the restrooms of the gender they were born into,Strongly agree,48.0,Hillary Clinton
Somewhat Disapprove,Repealed,No,2.0,Favor blacks over whites,Not very important,Probably is not happening,Somewhat favor,Independent,In the Republican primary,Very conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,15.0,Isolated incidents,Agree,Agree,Oppose,Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Disagree,21.0,Donald Trump
Strongly Disapprove,Repealed,No,10.0,Favor blacks over whites,Unimportant,Definitely is not happening,Strongly favor,Republican,In the Republican primary,Very conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,25.0,Isolated incidents,Agree,Strongly agree,Oppose,Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Agree,51.0,Donald Trump
Strongly Approve,Expanded,Yes,97.0,Treat both groups the same,Very important,Definitely is happening,Somewhat oppose,Democrat,In the Democratic primary,Liberal,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,100.0,Part of a broader pattern,Strongly Disagree,Strongly disagree,Favor,Strongly Agree,Strongly Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,88.0,Hillary Clinton
Strongly Approve,Expanded,Yes,78.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Very liberal,Too little,Mostly make a contribution,Distribution is fair,We need a strong government to handle today's complex economic problems,100.0,Don't know,Strongly Disagree,Strongly agree,Don't know,Strongly Agree,Strongly Agree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,100.0,Hillary Clinton
Strongly Approve,Expanded,Yes,90.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Moderate,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,90.0,Part of a broader pattern,Strongly Disagree,Strongly agree,Don't know,Strongly Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,90.0,Hillary Clinton
Somewhat Disapprove,Repealed,No,10.0,Favor blacks over whites,Not very important,Probably is happening,Strongly favor,Independent,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,51.0,Isolated incidents,Agree,Disagree,Oppose,Agree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,69.0,Donald Trump
Somewhat Disapprove,Repealed,Yes,16.0,Favor blacks over whites,Unimportant,Probably is not happening,Somewhat favor,Independent,In the Republican primary,Moderate,Too much,Mostly a drain,Don't know,People would be better able to handle today's problems within a free market with less government involvement,53.0,Isolated incidents,Don't Know,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,100.0,Donald Trump
Somewhat Approve,Expanded,Yes,76.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Very liberal,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,80.0,Part of a broader pattern,Disagree,Agree,Favor,Agree,Strongly Agree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,81.0,Hillary Clinton
Strongly Approve,Kept the same,Yes,20.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Liberal,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,57.0,Part of a broader pattern,Strongly Disagree,Disagree,Don't know,Agree,Agree,Don't know,Agree,77.0,Hillary Clinton
Strongly Approve,Expanded,Don't know,90.0,Favor whites over blacks,Very important,Definitely is happening,Somewhat oppose,Independent,In the Democratic primary,Moderate,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,80.0,Part of a broader pattern,Strongly Disagree,Disagree,Favor,Don't Know,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,70.0,Hillary Clinton
Somewhat Approve,Expanded,Yes,61.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Liberal,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,63.0,Part of a broader pattern,Strongly Disagree,Strongly disagree,Favor,Agree,Strongly Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,71.0,Hillary Clinton
Somewhat Approve,Expanded,Yes,91.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Independent,"No, not in either",Moderate,Too little,Neither,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,91.0,Part of a broader pattern,Agree,Agree,Don't know,Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,53.0,Hillary Clinton
Strongly Disapprove,Repealed,No,0.0,Favor blacks over whites,Unimportant,Definitely is not happening,Somewhat favor,Republican,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,1.0,Isolated incidents,Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Strongly disagree,1.0,Donald Trump
Strongly Approve,Expanded,Yes,46.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Liberal,About the right amount,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,90.0,Part of a broader pattern,Strongly Disagree,Disagree,Favor,Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,75.0,Hillary Clinton
Strongly Approve,Expanded,Yes,90.0,Treat both groups the same,Very important,Probably is happening,Strongly oppose,Democrat,In the Democratic primary,Liberal,Don't know,Mostly make a contribution,Should be more evenly distributed,Don't know,84.0,Part of a broader pattern,Disagree,Disagree,Favor,Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,72.0,Hillary Clinton
Somewhat Disapprove,Don't know,No,12.0,Favor blacks over whites,Somewhat important,Probably is happening,Don't know,Independent,In the Republican primary,Moderate,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,57.0,Isolated incidents,Agree,Agree,Oppose,Strongly Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Agree,55.0,Hillary Clinton
Somewhat Approve,Expanded,Yes,62.0,Treat both groups the same,Very important,Definitely is happening,Somewhat favor,Independent,"No, not in either",Moderate,Too much,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,100.0,Part of a broader pattern,Strongly Disagree,Disagree,Oppose,Agree,Agree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,100.0,Hillary Clinton
Somewhat Approve,Expanded,Yes,78.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Independent,In the Democratic primary,Liberal,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,83.0,Part of a broader pattern,Strongly Disagree,Disagree,Favor,Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,91.0,Hillary Clinton
Strongly Approve,Expanded,Yes,100.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Independent,In the Democratic primary,Liberal,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,99.0,Part of a broader pattern,Strongly Disagree,Agree,Favor,Strongly Agree,Strongly Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,100.0,Hillary Clinton
Strongly Approve,Expanded,Yes,70.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Independent,In the Republican primary,Very liberal,About the right amount,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,70.0,Part of a broader pattern,Strongly Disagree,Disagree,Favor,Strongly Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,80.0,Hillary Clinton
Strongly Approve,Expanded,Yes,100.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Liberal,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,100.0,Part of a broader pattern,Strongly Disagree,Disagree,Favor,Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,100.0,Hillary Clinton
Somewhat Approve,Expanded,Yes,75.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Independent,In the Democratic primary,Very liberal,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,75.0,Part of a broader pattern,Strongly Disagree,Disagree,Favor,Strongly Agree,Disagree,Don't know,Strongly agree,80.0,Hillary Clinton
Strongly Disapprove,Repealed,No,41.045111462173075,Favor blacks over whites,Unimportant,Definitely is not happening,Strongly favor,Independent,In the Republican primary,Moderate,Too much,Mostly a drain,Don't know,People would be better able to handle today's problems within a free market with less government involvement,52.993479752916954,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,51.91723549488054,Donald Trump
Strongly Disapprove,Repealed,No,1.0,Don't know,Unimportant,Definitely is not happening,Strongly favor,Independent,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,41.0,Isolated incidents,Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,61.0,Donald Trump
Strongly Approve,Expanded,Yes,50.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Liberal,About the right amount,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,75.0,Part of a broader pattern,Strongly Disagree,Disagree,Favor,Strongly Disagree,Strongly Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,75.0,Hillary Clinton
Somewhat Approve,Expanded,Yes,75.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Independent,In the Democratic primary,Moderate,About the right amount,Neither,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,76.0,Part of a broader pattern,Strongly Disagree,Disagree,Oppose,Agree,Agree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,50.0,Hillary Clinton
Strongly Disapprove,Repealed,No,0.0,Favor blacks over whites,Unimportant,Definitely is not happening,Strongly favor,Independent,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,0.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Strongly disagree,25.0,Donald Trump
Strongly Disapprove,Repealed,No,10.0,Favor whites over blacks,Unimportant,Definitely is not happening,Strongly favor,Republican,In the Republican primary,Conservative,Too much,Neither,Don't know,People would be better able to handle today's problems within a free market with less government involvement,12.0,Isolated incidents,Strongly Agree,Strongly agree,Don't know,Strongly Disagree,Disagree,Should be required to use the restrooms of the gender they were born into,Disagree,4.0,Donald Trump
Strongly Approve,Expanded,Yes,56.0,Treat both groups the same,Somewhat important,Definitely is happening,Somewhat oppose,Democrat,In the Democratic primary,Moderate,Don't know,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,71.0,Isolated incidents,Disagree,Agree,Favor,Agree,Disagree,Don't know,Strongly agree,60.0,Hillary Clinton
Somewhat Disapprove,Repealed,No,40.0,Treat both groups the same,Somewhat important,Definitely is happening,Somewhat oppose,Independent,"No, not in either",Moderate,Too much,Neither,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,61.0,Isolated incidents,Disagree,Agree,Oppose,Strongly Disagree,Strongly Agree,Don't know,Disagree,31.0,Hillary Clinton
