obamaapp_2016,healthreformbill_2016,univhealthcov_2016,ft_blm_2016,policies_favor_2016,imiss_l_2016,envwarm_2016,immi_muslim_2016,pid3_2016,pp_primary16_2016,ideo5_2016,govt_reg_2016,immi_contribution_2016,wealth_2016,gvmt_involment_2016,ft_fem_2016,police_threat_2016,reverse_discrimination_2016,RIGGED_SYSTEM_4_2016,affirmact_gen_2016,race_slave_2016,race_overcome_2016,view_transgender_2016,RIGGED_SYSTEM_3_2016,ft_unions_2016,presvote16post_2016
Somewhat Approve,Expanded,Yes,31.0,Treat both groups the same,Very important,Probably is happening,Strongly favor,Independent,In the Democratic primary,Moderate,About the right amount,Neither,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,40.0,Part of a broader pattern,Agree,Disagree,Favor,Agree,Agree,Should be required to use the restrooms of the gender they were born into,Agree,20.0,Hillary Clinton
Somewhat Approve,Don't know,Yes,10.0,Favor blacks over whites,Very important,Probably is happening,Somewhat favor,Independent,In the Republican primary,Moderate,Too little,Mostly a drain,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,59.0,Isolated incidents,Strongly Agree,Disagree,Don't know,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Strongly agree,100.0,Donald Trump
Strongly Disapprove,Repealed,No,0.0,Favor blacks over whites,Unimportant,Probably is not happening,Strongly favor,Republican,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,25.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,75.0,Donald Trump
Strongly Disapprove,Repealed,No,3.0,Favor blacks over whites,Somewhat important,Don't know,Strongly favor,Republican,In the Republican primary,Moderate,Don't know,Mostly a drain,Should be more evenly distributed,Don't know,15.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,3.0,Donald Trump
Somewhat Disapprove,Don't know,Yes,0.0,Favor blacks over whites,Very important,Definitely is happening,Don't know,Independent,In the Democratic primary,Moderate,Too little,Don't know,Distribution is fair,We need a strong government to handle today's complex economic problems,46.0,Isolated incidents,Agree,Agree,Oppose,Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Agree,75.0,Hillary Clinton
Strongly Disapprove,Repealed,No,0.0,Favor blacks over whites,Unimportant,Probably is not happening,Somewhat favor,Independent,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,14.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,20.0,Donald Trump
Strongly Disapprove,Repealed,No,1.0,Favor blacks over whites,Not very important,Probably is not happening,Strongly favor,Republican,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,0.0,Isolated incidents,Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Strongly disagree,4.0,Donald Trump
Strongly Approve,Expanded,Yes,100.0,Treat both groups the same,Somewhat important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Moderate,About the right amount,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,100.0,Part of a broader pattern,Strongly Disagree,Strongly disagree,Favor,Strongly Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,100.0,Hillary Clinton
Strongly Disapprove,Repealed,No,3.0,Favor blacks over whites,Somewhat important,Probably is happening,Strongly favor,Republican,In the Republican primary,Very conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,52.993479752916954,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,0.0,Donald Trump
Strongly Approve,Expanded,Yes,99.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Liberal,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,99.0,Part of a broader pattern,Strongly Disagree,Strongly disagree,Favor,Strongly Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,98.0,Hillary Clinton
Strongly Disapprove,Repealed,No,5.0,Favor blacks over whites,Somewhat important,Probably is not happening,Somewhat favor,Republican,In the Republican primary,Conservative,Too much,Mostly a drain,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,50.0,Don't know,Strongly Agree,Strongly agree,Don't know,Agree,Agree,Should be required to use the restrooms of the gender they were born into,Strongly agree,7.0,Donald Trump
Strongly Disapprove,Repealed,No,21.0,Favor blacks over whites,Not very important,Don't know,Don't know,Independent,In the Republican primary,Moderate,Too much,Neither,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,30.0,Isolated incidents,Don't Know,Strongly agree,Oppose,Strongly Disagree,Disagree,Don't know,Disagree,51.91723549488054,Donald Trump
Strongly Disapprove,Repealed,No,9.0,Favor blacks over whites,Unimportant,Probably is not happening,Somewhat favor,Republican,In the Republican primary,Very conservative,About the right amount,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,9.0,Isolated incidents,Agree,Agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,25.0,Donald Trump
Strongly Disapprove,Repealed,No,5.0,Favor blacks over whites,Unimportant,Probably is not happening,Strongly favor,Independent,In the Republican primary,Very conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,17.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,9.0,Donald Trump
Strongly Disapprove,Repealed,No,3.0,Treat both groups the same,Unimportant,Probably is happening,Somewhat favor,Republican,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,12.0,Isolated incidents,Agree,Strongly agree,Favor,Strongly Disagree,Disagree,Should be required to use the restrooms of the gender they were born into,Agree,20.0,Donald Trump
Strongly Disapprove,Repealed,No,4.0,Favor blacks over whites,Unimportant,Definitely is not happening,Somewhat favor,Republican,In the Republican primary,Very conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,43.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,29.0,Donald Trump
Somewhat Disapprove,Repealed,No,41.045111462173075,Favor blacks over whites,Very important,Definitely is happening,Somewhat favor,Democrat,"No, not in either",Very conservative,Don't know,Mostly a drain,Should be more evenly distributed,Don't know,18.0,Part of a broader pattern,Agree,Agree,Don't know,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,63.0,Donald Trump
Strongly Disapprove,Repealed,No,1.0,Treat both groups the same,Somewhat important,Probably is not happening,Strongly favor,Republican,In the Republican primary,Moderate,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,30.0,Isolated incidents,Agree,Strongly agree,Oppose,Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Disagree,2.0,Donald Trump
Strongly Disapprove,Repealed,No,41.045111462173075,Favor blacks over whites,Unimportant,Definitely is not happening,Strongly favor,Independent,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,3.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,51.91723549488054,Donald Trump
Somewhat Disapprove,Repealed,Yes,41.045111462173075,Favor blacks over whites,Unimportant,Definitely is not happening,Strongly favor,Other,In the Republican primary,Moderate,Don't know,Mostly a drain,Should be more evenly distributed,Don't know,52.993479752916954,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Strongly agree,99.0,Donald Trump
Strongly Approve,Expanded,Yes,100.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Liberal,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,97.0,Part of a broader pattern,Strongly Disagree,Agree,Favor,Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,100.0,Hillary Clinton
Strongly Disapprove,Repealed,No,31.0,Favor blacks over whites,Somewhat important,Don't know,Strongly favor,Independent,In the Republican primary,Conservative,Too much,Don't know,Don't know,Don't know,31.0,Isolated incidents,Agree,Strongly agree,Don't know,Disagree,Agree,Don't know,Agree,50.0,Donald Trump
Strongly Disapprove,Repealed,No,4.0,Favor blacks over whites,Unimportant,Don't know,Somewhat favor,Republican,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,16.0,Isolated incidents,Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,36.0,Donald Trump
Strongly Disapprove,Repealed,No,0.0,Favor whites over blacks,Unimportant,Probably is not happening,Somewhat favor,Independent,In the Republican primary,Moderate,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,0.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Don't know,Disagree,11.0,Donald Trump
Strongly Approve,Expanded,Yes,99.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Liberal,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,100.0,Part of a broader pattern,Strongly Disagree,Disagree,Favor,Strongly Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,80.0,Hillary Clinton
Strongly Approve,Expanded,Yes,23.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Independent,In the Democratic primary,Liberal,About the right amount,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,90.0,Isolated incidents,Agree,Disagree,Favor,Disagree,Agree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,91.0,Hillary Clinton
Strongly Disapprove,Repealed,No,26.0,Favor whites over blacks,Unimportant,Probably is happening,Somewhat favor,Republican,"No, not in either",Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,31.0,Isolated incidents,Disagree,Agree,Oppose,Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Disagree,31.0,Donald Trump
Somewhat Disapprove,Repealed,No,11.0,Don't know,Not very important,Probably is happening,Somewhat oppose,Republican,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,30.0,Isolated incidents,Agree,Strongly agree,Oppose,Strongly Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Disagree,30.0,Donald Trump
Strongly Disapprove,Repealed,No,41.045111462173075,Favor blacks over whites,Not very important,Probably is happening,Strongly favor,Republican,In the Republican primary,Conservative,Don't know,Neither,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,52.993479752916954,Isolated incidents,Don't Know,Strongly agree,Don't know,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,51.91723549488054,Donald Trump
Strongly Approve,Expanded,Yes,55.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Republican,In the Republican primary,Moderate,About the right amount,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,52.0,Part of a broader pattern,Strongly Disagree,Strongly disagree,Oppose,Disagree,Agree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,68.0,Hillary Clinton
Strongly Disapprove,Repealed,No,9.0,Favor blacks over whites,Not very important,Probably is not happening,Somewhat favor,Independent,"No, not in either",Moderate,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,23.0,Isolated incidents,Agree,Strongly disagree,Oppose,Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,15.0,Donald Trump
Somewhat Approve,Expanded,Yes,3.0,Treat both groups the same,Unimportant,Definitely is not happening,Somewhat favor,Independent,"No, not in either",Moderate,About the right amount,Mostly a drain,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,10.0,Part of a broader pattern,Agree,Disagree,Oppose,Strongly Agree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Strongly agree,14.0,Hillary Clinton
Strongly Disapprove,Don't know,Yes,2.0,Favor blacks over whites,Somewhat important,Probably is happening,Strongly favor,Republican,"No, not in either",Moderate,Too little,Mostly a drain,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,4.0,Part of a broader pattern,Strongly Agree,Agree,Don't know,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,47.0,Donald Trump
Strongly Disapprove,Repealed,No,0.0,Favor blacks over whites,Unimportant,Definitely is not happening,Strongly favor,Other,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,0.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,25.0,Donald Trump
Strongly Disapprove,Repealed,No,0.0,Favor blacks over whites,Unimportant,Definitely is not happening,Strongly favor,Republican,In the Republican primary,Very conservative,Too much,Mostly make a contribution,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,0.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Strongly disagree,0.0,Donald Trump
Strongly Disapprove,Repealed,No,1.0,Don't know,Unimportant,Probably is not happening,Strongly favor,Democrat,"No, not in either",Conservative,Too much,Neither,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,24.0,Isolated incidents,Agree,Agree,Oppose,Disagree,Agree,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,2.0,Donald Trump
Strongly Disapprove,Repealed,No,15.0,Treat both groups the same,Somewhat important,Probably is happening,Don't know,Independent,"No, not in either",Moderate,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,24.0,Isolated incidents,Disagree,Strongly agree,Don't know,Agree,Agree,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,14.0,Donald Trump
Somewhat Disapprove,Repealed,Yes,67.0,Don't know,Not very important,Don't know,Don't know,Republican,In the Republican primary,Conservative,Too much,Mostly a drain,Should be more evenly distributed,Don't know,52.993479752916954,Part of a broader pattern,Strongly Agree,Agree,Don't know,Strongly Disagree,Strongly Agree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,9.0,Donald Trump
Strongly Disapprove,Repealed,No,0.0,Favor blacks over whites,Unimportant,Definitely is not happening,Strongly favor,Republican,"No, not in either",Very conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,0.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,30.0,Donald Trump
Strongly Disapprove,Don't know,No,1.0,Favor blacks over whites,Not very important,Probably is not happening,Don't know,Republican,"No, not in either",Very conservative,Too much,Mostly a drain,Don't know,People would be better able to handle today's problems within a free market with less government involvement,15.0,Isolated incidents,Agree,Strongly disagree,Oppose,Strongly Disagree,Strongly Agree,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,25.0,Donald Trump
Strongly Disapprove,Repealed,No,1.0,Favor blacks over whites,Unimportant,Definitely is not happening,Strongly favor,Independent,"No, not in either",Moderate,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,50.0,Isolated incidents,Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,51.0,Donald Trump
Somewhat Disapprove,Repealed,Don't know,2.0,Favor blacks over whites,Somewhat important,Definitely is happening,Somewhat favor,Independent,In the Democratic primary,Conservative,Too much,Mostly a drain,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,43.0,Part of a broader pattern,Strongly Agree,Strongly agree,Oppose,Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Strongly agree,40.0,Donald Trump
Strongly Disapprove,Repealed,No,2.0,Treat both groups the same,Not very important,Definitely is not happening,Strongly favor,Independent,In the Republican primary,Moderate,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,2.0,Isolated incidents,Agree,Strongly agree,Oppose,Strongly Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Agree,1.0,Donald Trump
Somewhat Approve,Expanded,Don't know,99.0,Treat both groups the same,Somewhat important,Probably is happening,Somewhat favor,Democrat,In the Democratic primary,Very liberal,Don't know,Mostly a drain,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,51.0,Part of a broader pattern,Strongly Disagree,Disagree,Favor,Strongly Agree,Strongly Disagree,Should be required to use the restrooms of the gender they were born into,Strongly disagree,97.0,Hillary Clinton
Strongly Disapprove,Repealed,No,8.0,Favor blacks over whites,Unimportant,Definitely is not happening,Strongly favor,Republican,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,30.0,Isolated incidents,Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,11.0,Donald Trump
Somewhat Approve,Repealed,No,13.0,Treat both groups the same,Somewhat important,Probably is happening,Somewhat favor,Democrat,"No, not in either",Moderate,Too much,Mostly a drain,Don't know,Don't know,54.0,Isolated incidents,Don't Know,Strongly agree,Don't know,Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Strongly agree,51.91723549488054,Donald Trump
Strongly Approve,Kept the same,No,100.0,Treat both groups the same,Somewhat important,Probably is not happening,Strongly favor,Democrat,In the Democratic primary,Moderate,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,18.0,Part of a broader pattern,Agree,Strongly agree,Oppose,Strongly Agree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,100.0,Hillary Clinton
Strongly Approve,Expanded,Yes,91.0,Treat both groups the same,Very important,Definitely is happening,Somewhat oppose,Democrat,In the Democratic primary,Very liberal,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,96.0,Part of a broader pattern,Disagree,Disagree,Favor,Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,80.0,Hillary Clinton
Strongly Disapprove,Repealed,No,41.045111462173075,Treat both groups the same,Unimportant,Definitely is not happening,Strongly favor,Independent,"No, not in either",Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,21.0,Isolated incidents,Agree,Strongly agree,Oppose,Strongly Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Disagree,70.0,Donald Trump
Somewhat Disapprove,Repealed,No,37.0,Treat both groups the same,Somewhat important,Probably is happening,Somewhat oppose,Democrat,"No, not in either",Moderate,Too little,Mostly a drain,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,17.0,Isolated incidents,Agree,Agree,Don't know,Don't Know,Agree,Don't know,Strongly agree,37.0,Hillary Clinton
Strongly Approve,Expanded,Yes,26.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Independent,In the Republican primary,Liberal,Too much,Mostly a drain,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,52.0,Part of a broader pattern,Agree,Disagree,Oppose,Disagree,Agree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,50.0,Hillary Clinton
Strongly Disapprove,Repealed,No,41.045111462173075,Favor blacks over whites,Unimportant,Definitely is not happening,Strongly favor,Independent,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,52.993479752916954,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,51.91723549488054,Donald Trump
Strongly Disapprove,Repealed,No,72.0,Favor blacks over whites,Very important,Definitely is happening,Somewhat favor,Republican,"No, not in either",Conservative,Too much,Mostly a drain,Distribution is fair,Don't know,52.0,Don't know,Strongly Agree,Strongly agree,Don't know,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,51.91723549488054,Donald Trump
Strongly Disapprove,Repealed,No,41.045111462173075,Favor blacks over whites,Very important,Definitely is happening,Strongly favor,Independent,"No, not in either",Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,52.993479752916954,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,100.0,Donald Trump
Strongly Disapprove,Repealed,No,3.0,Favor blacks over whites,Unimportant,Probably is not happening,Somewhat favor,Independent,In the Republican primary,Very conservative,Too much,Mostly a drain,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,1.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,52.0,Donald Trump
Strongly Disapprove,Repealed,Yes,45.0,Favor blacks over whites,Not very important,Probably is happening,Strongly favor,Republican,In the Republican primary,Conservative,Don't know,Mostly a drain,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,80.0,Isolated incidents,Agree,Strongly agree,Favor,Agree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,59.0,Donald Trump
Somewhat Approve,Expanded,Yes,41.045111462173075,Treat both groups the same,Very important,Definitely is happening,Somewhat favor,Independent,"No, not in either",Moderate,About the right amount,Neither,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,88.0,Part of a broader pattern,Don't Know,Disagree,Don't know,Disagree,Disagree,Should be required to use the restrooms of the gender they were born into,Strongly agree,76.0,Hillary Clinton
Strongly Approve,Expanded,Yes,90.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Independent,In the Democratic primary,Very liberal,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,90.0,Part of a broader pattern,Strongly Disagree,Disagree,Favor,Strongly Agree,Strongly Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,95.0,Hillary Clinton
Strongly Disapprove,Repealed,No,0.0,Favor blacks over whites,Unimportant,Definitely is not happening,Strongly favor,Republican,In the Republican primary,Very conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,0.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Strongly disagree,0.0,Donald Trump
Strongly Approve,Expanded,Yes,85.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,"No, not in either",Liberal,About the right amount,Neither,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,75.0,Part of a broader pattern,Disagree,Strongly disagree,Don't know,Strongly Agree,Don't Know,Should be allow to us the restrooms of the gender with which they currently identify,Agree,80.0,Hillary Clinton
Strongly Disapprove,Repealed,No,1.0,Favor blacks over whites,Unimportant,Definitely is not happening,Strongly favor,Republican,In the Republican primary,Conservative,Too much,Mostly make a contribution,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,2.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Strongly disagree,1.0,Donald Trump
Somewhat Disapprove,Repealed,No,63.0,Favor blacks over whites,Unimportant,Definitely is not happening,Somewhat favor,Independent,"No, not in either",Moderate,Too much,Mostly a drain,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,16.0,Isolated incidents,Agree,Strongly agree,Oppose,Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Strongly agree,48.0,Donald Trump
Strongly Approve,Repealed,No,16.0,Favor blacks over whites,Unimportant,Probably is happening,Somewhat favor,Republican,"No, not in either",Conservative,Too much,Neither,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,32.0,Isolated incidents,Agree,Agree,Oppose,Strongly Disagree,Don't Know,Don't know,Disagree,18.0,Donald Trump
Somewhat Disapprove,Repealed,No,19.0,Favor blacks over whites,Somewhat important,Probably is happening,Somewhat oppose,Republican,"No, not in either",Conservative,Too much,Mostly make a contribution,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,33.0,Part of a broader pattern,Strongly Agree,Strongly agree,Favor,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,54.0,Hillary Clinton
Strongly Disapprove,Repealed,No,0.0,Favor blacks over whites,Unimportant,Definitely is not happening,Strongly favor,Republican,In the Republican primary,Very conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,10.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,10.0,Donald Trump
Somewhat Disapprove,Don't know,No,41.045111462173075,Treat both groups the same,Very important,Definitely is happening,Don't know,Republican,In the Republican primary,Liberal,Too much,Neither,Don't know,People would be better able to handle today's problems within a free market with less government involvement,52.993479752916954,Isolated incidents,Agree,Agree,Oppose,Strongly Disagree,Don't Know,Should be required to use the restrooms of the gender they were born into,Strongly agree,51.91723549488054,Donald Trump
Strongly Disapprove,Repealed,No,1.0,Favor blacks over whites,Not very important,Probably is not happening,Strongly favor,Independent,In the Republican primary,Very conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,1.0,Isolated incidents,Agree,Agree,Oppose,Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Disagree,1.0,Donald Trump
Strongly Disapprove,Repealed,No,1.0,Treat both groups the same,Not very important,Definitely is not happening,Strongly favor,Republican,In the Republican primary,Very conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,36.0,Isolated incidents,Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,20.0,Donald Trump
Strongly Approve,Repealed,No,29.0,Treat both groups the same,Somewhat important,Probably is happening,Somewhat favor,Democrat,In the Democratic primary,Liberal,Don't know,Mostly a drain,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,41.0,Part of a broader pattern,Disagree,Disagree,Oppose,Disagree,Agree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,70.0,Hillary Clinton
Strongly Approve,Expanded,Yes,90.0,Don't know,Very important,Definitely is happening,Somewhat oppose,Democrat,In the Democratic primary,Liberal,Too little,Neither,Should be more evenly distributed,Don't know,90.0,Part of a broader pattern,Strongly Disagree,Disagree,Don't know,Strongly Agree,Strongly Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,80.0,Hillary Clinton
Strongly Disapprove,Repealed,No,1.0,Favor whites over blacks,Not very important,Probably is not happening,Somewhat favor,Independent,In the Democratic primary,Very conservative,Too much,Neither,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,9.0,Isolated incidents,Agree,Agree,Oppose,Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,26.0,Donald Trump
